N-NUMBER,SERIAL NUMBER,MFR MDL CODE,ENG MFR MDL,YEAR MFR,TYPE REGISTRANT,NAME,STREET,STREET2,CITY,STATE,ZIP CODE,REGION,COUNTY,COUNTRY,LAST ACTION DATE,CERT ISSUE DATE,CERTIFICATION,TYPE AIRCRAFT,TYPE ENGINE,STATUS CODE,MODE S CODE,FRACT OWNER,AIR WORTH DATE,OTHER NAMES(1),OTHER NAMES(2),OTHER NAMES(3),OTHER NAMES(4),OTHER NAMES(5),EXPIRATION DATE,UNIQUE ID,KIT MFR, KIT MODEL,MODE S CODE HEX,
1003Q,32R-7780217                   ,7103213,     ,    ,1,KING JEFFREY J                                    ,11615 OAKWOOD LN                 ,                                 ,FORT WORTH        ,TX,761799217 ,2,439,US,20171106,20150429,1N        ,4,1 ,V ,50003604, ,19770224,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210430,00100120,                              ,                    ,A00784    ,
1003X,41748                         ,5150011,     ,    ,3,KAP ELECTRIC INC                                  ,4210 E FAIRVIEW AVE              ,                                 ,SULPHUR           ,LA,706636408 ,2,019,US,20171013,20070713,          ,4,1 ,V ,50003613, ,        ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210331,00322149,                              ,                    ,A0078B    ,
1003Y,T34-492                       ,8380307,52251,2019,3,THRUSH AIRCRAFT INC                               ,300 OLD PRETORIA RD              ,                                 ,ALBANY            ,GA,317215285 ,7,243,US,20190819,        ,310       ,4,2 ,M ,50003614, ,20190813,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,        ,01302836,                              ,                    ,A0078C    ,
1003Z,S-95060136                    ,05603DZ,17063,1997,3,KAE AVIATION LLC                                  ,3844 TWIN LAKE RD                ,                                 ,CONOVER           ,WI,545199341 ,C,125,US,20191030,20191030,42        ,4,1 ,V ,50003615, ,19970731,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20221031,00316001,                              ,                    ,A0078D    ,
1004 ,416                           ,2621802,17018,1928,1,GLOVER WILLIAM S                                  ,PO BOX 287                       ,                                 ,MOUNT PLEASANT    ,TX,754560287 ,2,449,US,20200117,20170606,1N        ,4,1 ,V ,50003630, ,19981027,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230630,00680855,                              ,                    ,A00798    ,
10045,29-0281                       ,5870225,17042,2002,3,SOUTHERN AIRCRAFT CONSULTANCY TRUSTEE             ,OFFICE 3  EARSHAM HALL           ,                                 ,BUNGAY NORFOLK    ,  ,NR35 2AN  ,8,   ,GB,20180829,20180227,1N        ,4,1 ,25,50003666, ,20020802,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210228,00001889,                              ,                    ,A007B6    ,
10048,29-0282                       ,5870225,17042,2002,4,KUMIN PHILLIP R                                   ,3 MASSOL CT                      ,                                 ,LOS GATOS         ,CA,950305948 ,4,085,US,20200102,20070511,1N        ,4,1 ,V ,50003671, ,20020821,RITTENHOUSE DAVID A                               ,STENE ROBERT J                                    ,                                                  ,                                                  ,                                                  ,20230531,00453847,                              ,                    ,A007B9    ,
1004B,501-0022                      ,0390302,52016,1988,4,CARTILLAR JAMES R III                             ,PO BOX 119                       ,                                 ,HICKORY RIDGE     ,AR,723470119 ,2,037,US,20181228,20181228,31        ,4,1 ,V ,50003632, ,19880811,CARTILLAR JAMES R IV                              ,                                                  ,                                                  ,                                                  ,                                                  ,20211231,00354361,                              ,                    ,A0079A    ,
1004D,26001C                        ,5460111,41530,    ,1,GIEZEN JURGEN J                                   ,5289 MEADOW ESTATES DR           ,                                 ,FAIRFAX           ,VA,220306660 ,1,600,US,20181219,20180919,1N        ,4,1 ,V ,50003634, ,20030917,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210930,00965811,                              ,                    ,A0079C    ,
1004E,172S9872                      ,2072439,41597,2005,7,KATCHING AIR LLC                                  ,173 N HENRY AVE                  ,                                 ,SANTA CLARA       ,CA,950502120 ,4,085,US,20181111,20160420,1NU       ,4,1 ,V ,50003635, ,20050721,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220430,00192209,                              ,                    ,A0079D    ,
1004F,502-0025                      ,0390303,52043,1988,7,GENTRY'S FLYING SERVICE LLC                       ,1617 CLEAR CREEK DR              ,                                 ,PRATTVILLE        ,AL,360676961 ,7,001,US,20200614,20140611,31        ,4,2 ,V ,50003636, ,19880525,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230630,00674221,                              ,                    ,A0079E    ,
1004G,301-0684                      ,0390103,52016,1988,3,SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE         ,OFFICE 3 EARSHAM HALL            ,                                 ,BUNGAY NORFOLK    ,  ,NR35 2AN  ,8,   ,GB,20180911,20150618,31        ,4,1 ,V ,50003637, ,19880527,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20210630,00684221,                              ,                    ,A0079F    ,
1004H,28-7715301                    ,7102805,41508,1976,3,SMTM HOLDINGS INC                                 ,3511 SILVERSIDE RD STE 105       ,                                 ,WILMINGTON        ,DE,198104902 ,1,003,US,20180830,20160126,1N        ,4,1 ,V ,50003640, ,19761217,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220131,00990110,                              ,                    ,A007A0    ,
1004J,16                            ,0144701,17025,1972,1,TROXELL TIMOTHY W                                 ,34618 25TH AVENUE CT S           ,                                 ,ROY               ,WA,985808622 ,S,053,US,20190614,20130916,1N        ,4,1 ,V ,50003641, ,19721116,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20220930,00980110,                              ,                    ,A007A1    ,
1004M,17259404                      ,2072432,41508,1970,7,FLYING GRIFFINS FLIGHT CLUB LLC                   ,12510 PINTAIL CT                 ,                                 ,CEDAR LAKE        ,IN,463038603 ,C,089,US,20200224,20170720,1N        ,4,1 ,V ,50003644, ,19700910,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230731,00210210,                              ,                    ,A007A4    ,
1004N,167                           ,8060105,41576,1972,1,STOKES DAVID A                                    ,2400 MIDDLECROFT DR              ,                                 ,BURTON            ,MI,485092604 ,C,049,US,20190812,20170112,43        ,4,1 ,V ,50003645, ,20060325,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230131,00207649,                              ,                    ,A007A5    ,
1004P,23-6                          ,7102302,41508,1954,4,MOROUGHAN LLOYD                                   ,16048 SUGAR HILL RD              ,                                 ,GREENWOOD         ,DE,199506084 ,1,005,US,20180915,19971120,1         ,5,1 ,V ,50003646, ,19561001,VAN KIRK STEPHEN K                                ,                                                  ,                                                  ,                                                  ,                                                  ,20211031,00970110,                              ,                    ,A007A6    ,
1004Q,29-0241                       ,5870225,17042,2000,3,FELINE HEALTH INC                                 ,115 INLET CT                     ,                                 ,HAMPSTEAD         ,NC,284432558 ,1,141,US,20180510,20051110,1N        ,4,1 ,V ,50003647, ,20000722,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20211031,00725930,                              ,                    ,A007A7    ,
1004S,29-0289                       ,5870225,17042,2003,4,ROSENFELD RONALD S TRUSTEE                        ,PO BOX 208                       ,                                 ,PERRY             ,ME,046670208 ,E,029,US,20190109,20190109,1N        ,4,1 ,V ,50003651, ,20030211,ROSENFELD ZELIA M TRUSTEE                         ,                                                  ,                                                  ,                                                  ,                                                  ,20220131,00032739,                              ,                    ,A007A9    ,
1004V,R1722075                      ,2072431,17025,1976,3,MIDWEST AIRCRAFT INC                              ,3422 OLD CAPITOL TRL STE 1631    ,                                 ,WILMINGTON        ,DE,198086192 ,1,003,US,20170627,20111005,1N        ,4,1 ,26,50003654, ,19761028,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20201031,00950110,                              ,                    ,A007AC    ,
1004X,28-7525256                    ,7102802,41508,1975,1,ROBERTS ERIK J                                    ,5009 SE 30TH AVE APT 80          ,                                 ,PORTLAND          ,OR,972024599 ,S,051,US,20200501,20140924,1N        ,4,1 ,V ,50003656, ,19750410,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20230930,00320120,                              ,                    ,A007AE    ,
